"coord_x","coord_y","relevo_local","relevo_elevacao","relevo_declividade","relevo_posicao","taxon"
497959,7398484,"suave ondulado",438,7,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
500646,7391800,"suave ondulado",546,8,"terço médio","Latossolo Vermelho Eutroférrico típico"
501808,7391827,"suave ondulado",593,5,"terço superior","Latossolo Vermelho Distroférrico típico"
502609,7394553,"forte ondulado",571,40,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
502338,7396714,"ondulado",502,9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
495972,7401069,"ondulado",502,9,"terço médio","Latossolo Vermelho Eutroférrico típico"
505355,7402613,"ondulado",449,16,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
503980,7403881,"ondulado",448,13,"terço inferior","Chernossolo Háplico Férrico típico"
501332,7404352,"suave ondulado",448,7,"topo","Latossolo Vermelho Eutroférrico típico"
503621,7408366,"ondulado",416,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
469216,7409055,"ondulado",631,13,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
470495,7409184,"forte ondulado",593,26,"terço inferior","Latossolo Vermelho Eutroférrico típico"
471956,7409374,"suave ondulado",624,6,"terço superior","Latossolo Vermelho Eutroférrico típico"
472032,7407659,"plano",667,0,"topo","Latossolo Vermelho Eutroférrico típico"
470994,7407346,"ondulado",617,20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
475428,7406483,"forte ondulado",537,41,"terço inferior","Neossolo Regolítico Eutrófico típico"
475474,7407682,"suave ondulado",619,4,"terço superior","Latossolo Vermelho Eutroférrico típico"
476538,7410744,"ondulado",546,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
478072,7415409,"plano",553,0,"baixada","Latossolo Vermelho Distroférrico típico"
481500,7412503,"plano",557,0,"topo","Latossolo Vermelho Distroférrico típico"
485368,7411343,"ondulado",449,16,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
483315,7408958,"ondulado",493,11,"terço superior","Nitossolo Vermelho Eutroférrico típico"
485750,7403494,"ondulado",480,10,"terço médio","Latossolo Vermelho Eutroférrico típico"
483551,7401678,"ondulado",519,15,"terço superior","Neossolo Regolítico Eutrófico típico"
491669,7414202,"ondulado",427,13,"terço médio","Nitossolo Vermelho Eutroférrico latossólico"
491747,7412219,"suave ondulado",435,4,"terço superior","Latossolo Vermelho Eutroférrico típico"
490514,7407301,"ondulado",466,18,"terço médio","Nitossolo Vermelho Eutroférrico típico"
491529,7405580,"ondulado",456,12,"terço superior","Latossolo Vermelho Eutroférrico típico"
495021,7410499,"forte ondulado",423,29,"terço médio","Nitossolo Vermelho Eutroférrico típico"
495094,7416660,"suave ondulado",428,5,"terço médio","Latossolo Vermelho Eutroférrico típico"
491437,7397812,"ondulado",540,15,"terço superior","Neossolo Litólico Eutrófico típico"
490565,7384962,"plano",778,0,"baixada","Gleissolo Melânico"
498077,7395172,"plano",500,0,"baixada","Cambissolo Háplico Tb Eutrófico gleissólico"
495021,7412219,"suave ondulado",428,7,"terço médio","Latossolo Vermelho Eutroférrico típico"
485750,7405580,"ondulado",416,17,"terço médio","Neossolo Regolítico Eutrófico léptico"
503621,7404352,"suave ondulado",470,7,"terço inferior","Latossolo Vermelho Distroférrico típico"
476538,7410744,"ondulado",520,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
509272,7377291,"ondulado",623,9,"terço inferior","Neossolo Litólico Distrófico típico"
495094,7416660,"montanhoso",427,25,"terço médio","Cambissolo Háplico Tb Distrófico típico"
493988,7377882,"montanhoso",771,40,"terço médio","Cambissolo Háplico Tb Distrófico típico"
504056,7385283,"montanhoso",606,41,"terço inferior","Neossolo Litólico Distrófico típico"
504125,7381695,"forte ondulado",606,25,"terço médio","Cambissolo Háplico Tb Distrófico típico"
486313,7399817,"montanhoso",519,41,"terço médio","Neossolo Regolítico Eutrófico típico"
