observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,ph_cacl2_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Símbolo do horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH H2O,pH CaCl2,Al,H+Al,Ca,Mg,K,Soma de bases,Capacidade de troca de cátions ,Saturação por bases,Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,g/dm^3,-,-,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,%,%
L26,1,Ap,1,0,20,-,-,-,4,"18,70","5,3",-,0,"4,96","4,7","2,71","0,75","8,16","13,12",62,0
L26,2,Bw,1,50,70,-,-,-,4,"10,90","4,5",-,"0,78","7,75","1,8","1,06","0,05","2,91","10,66",27,21
L27,1,Ap,1,0,20,-,-,-,"5,3","12,80","5,8",-,0,"3,68","6,45","2,83","0,68","9,96","13,64",73,0
L27,2,Bt,1,50,70,-,-,-,5,"8,30","5,6",-,0,"3,97","5,7","1,85","0,07","7,62","11,59",66,0
L28,1,Ap,1,0,20,-,-,-,"1,4","26,20","5,1",-,0,"6,2","8,37","2,59","0,88","11,84","18,04",66,0
L28,2,Bt,1,50,70,-,-,-,"2,1","9,90","5,7",-,0,"3,68","7,5","2,38","0,53","10,41","14,09",74,0
L29,1,Ap,1,0,20,-,-,-,"6,5","22,50","5,3",-,0,"5,34","5,82","2,79","0,35","8,96","14,30",63,0
L29,2,Bw,1,50,70,-,-,-,"3,3","8,90","5,2",-,0,"4,96","2,85","2,42","0,05","5,32","10,28",52,0
L3,1,Ap,1,0,20,-,-,-,"13,9","21,20","5,1",-,0,"5,76","6,75","2,05","0,78","9,58","15,34",62,0
L3,2,Bw,1,60,80,-,-,-,"6,5","6,10","5,9",-,0,"3,68","4,82","1,48","0,1","6,4","10,08",63,0
L30,1,Ap,1,0,20,-,-,-,"10,2","23,20","5,6",-,0,"4,6","6,3","2,92","1,35","10,57","15,17",70,0
L30,2,Bw,1,50,70,-,-,-,"5,6","8,70","5,2",-,0,"4,96","2,75","2,3","0,23","5,28","10,24",52,0
L31,1,Bi,1,0,20,-,-,-,"3,7","21,10","5,4",-,0,"5,34","7,55","2,13","0,84","10,52","15,86",66,0
L32,1,Ap,1,0,20,-,-,-,"6,7","24,10","5,2",-,0,"6,2","7,52","2,38","1,01","10,91","17,11",64,0
L32,2,Bw,1,50,70,-,-,-,"6,4","8,90","5,6",-,0,"3,97","5,32","1,72","0,27","7,31","11,28",65,0
L33,1,Ap,1,0,20,-,-,-,"17,6","21,80","5,0",-,0,"6,68","6,52","2,3","0,53","9,35","16,03",58,0
L33,2,Bt,1,50,70,-,-,-,"9,3","7,60","5,1",-,0,"4,96","3,67","1,43","0,07","5,17","10,13",51,0
L34,1,Ap,1,0,20,-,-,-,"4,1","18,30","4,5",-,"0,59","8,35","3,85","2,42","0,25","6,52","14,87",44,8
L34,2,Bw,1,50,70,-,-,-,"2,4","22,60","4,0",-,"4,34","15,16","1,05","0,53","0,05","1,63","16,79",10,73
L35,1,Ap,1,0,20,-,-,-,"16,9","19,40","4,8",-,"0,13","7,75","4,87","2,79","0,33","7,99","15,74",51,2
L35,2,Bw,1,50,70,-,-,-,"2,2","22,90","4,1",-,"2,92","14,07","1,9","1,31","0,05","3,26","17,33",19,47
L36,1,Ap,1,0,20,-,-,-,"7,9","30,50","5,4",-,0,"5,76","15,8","4,77","1,05","21,62","27,38",79,0
L37,1,Ap,1,0,20,-,-,-,"12,4","21,10","5,3",-,0,"5,34","8,15","2,96","1,01","12,12","17,46",69,0
L37,2,Bt,1,50,70,-,-,-,"2,9","8,90","5,3",-,0,"4,6","4,05","1,39","0,2","5,64","10,24",55,0
L38,1,Ap,1,0,20,-,-,-,"32,8","29,90","4,7",-,"0,26","9,7","5,6","2,59","0,56","8,75","18,45",47,3
L38,2,Bw,1,50,70,-,-,-,"1,3","20,60","4,2",-,"2,25","13,06","0,65","0,9","0,18","1,73","14,79",12,57
L39,1,Ap,1,0,20,-,-,-,"14,3","29,00","5,5",-,0,"5,34","8,32","3,16","0,65","12,13","17,47",69,0
