"relevo_elevacao","coord_x","coord_y","relevo_local","relevo_declividade","relevo_posicao","taxon"
587,482376,7457538,"suave ondulado",4,"Topo","Latossolo Vermelho Distrófico típico"
609,481641,7457538,"plano",1,"Topo","Latossolo Vermelho Distrófico típico"
618,480370,7455643,"suave ondulado",5,"Terço superior","Latossolo Vermelho Distrófico típico"
620,480711,7454363,"plano",2,"Topo","Latossolo Vermelho Distrófico típico"
618,481993,7450344,"suave ondulado",5,"Topo","Latossolo Vermelho Eutroférrico típico"
454,464621,7450098,"plano",2,"Terço superior","Latossolo Vermelho Eutroférrico típico"
421,469859,7455447,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
427,471780,7453316,"suave ondulado",6,"Terço superior","Latossolo Vermelho Eutroférrico típico"
461,471379,7457618,"suave ondulado",5,"Terço superior","Latossolo Vermelho Eutroférrico típico"
404,467374,7460831,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
413,470507,7463681,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
553,477080,7460197,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
560,477000,7458000,"suave ondulado",6,"Topo","Latossolo Vermelho Eutroférrico típico"
560,482722,7468918,"ondulado",15,"Terço inferior","Latossolo Vermelho Eutroférrico típico"
575,482376,7461944,"plano",1,"Topo","Chernossolo Háplico Férrico típico"
589,479180,7438038,"suave ondulado",8,"Terço superior","Latossolo Vermelho Eutroférrico típico"
543,478690,7442400,"suave ondulado",7,"Terço médio","Latossolo Vermelho Eutroférrico típico"
461,481401,7464356,"ondulado",14,"Terço médio","Chernossolo Háplico Férrico típico"
510,470804,7460197,"suave ondulado",7,"Terço médio","Latossolo Vermelho Eutroférrico típico"
525,471379,7436970,"plano",1,"Topo","Latossolo Vermelho Distrófico típico"
505,497959,7395608,"ondulado",18,"Terço médio-inferior","Neossolo Regolítico Eutrófico típico"
505,469859,7449447,"ondulado",14,"Terço médio-inferior","Nitossolo Vermelho Eutroférrico típico"
480,481641,7436970,"suave ondulado",4,"Topo","Latossolo Vermelho Distrófico típico"
330,471379,7438038,"suave ondulado",5,"Terço superior","Latossolo Vermelho Eutroférrico típico"
587,482722,7438393,"ondulado",10,"Terço médio-inferior","Nitossolo Vermelho Eutroférrico típico"
