"coord_x","coord_y","relevo_local","relevo_elevacao","relevo_declividade","relevo_posicao","taxon"
500646,7391800,"suave ondulado",546,8,"terço médio","Latossolo Vermelho Eutroférrico típico"
501808,7391827,"suave ondulado",593,NA,"terço superior","Latossolo Vermelho Distroférrico típico"
502609,7394553,"forte ondulado",571,40,NA,"Neossolo Regolítico Eutrófico fragmentário"
502338,7396714,"ondulado",502,9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
495972,7401069,"ondulado",502,9,"terço médio","Latossolo Vermelho Eutroférrico típico"
505355,7402613,"ondulado",449,16,NA,"Neossolo Regolítico Eutrófico fragmentário"
503980,7403881,"ondulado",448,13,"terço inferior","Chernossolo Háplico Férrico típico"
501332,7404352,"suave ondulado",448,NA,"topo","Latossolo Vermelho Eutroférrico típico"
503621,7408366,"ondulado",416,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
469216,7409055,"ondulado",631,13,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
470495,7409184,"forte ondulado",593,26,"terço inferior","Latossolo Vermelho Eutroférrico típico"
471956,7409374,"suave ondulado",624,6,"terço superior","Latossolo Vermelho Eutroférrico típico"
472032,7407659,"plano",667,NA,"topo","Latossolo Vermelho Eutroférrico típico"
470994,7407346,"ondulado",617,20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
475428,7406483,"forte ondulado",537,41,NA,"Neossolo Regolítico Eutrófico típico"
475474,7407682,"suave ondulado",619,4,"terço superior","Latossolo Vermelho Eutroférrico típico"
476538,7410744,"ondulado",546,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
478072,7415409,"plano",553,NA,NA,"Latossolo Vermelho Distroférrico típico"
481500,7412503,"plano",557,NA,"topo","Latossolo Vermelho Distroférrico típico"
485368,7411343,"ondulado",449,16,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
483315,7408958,"ondulado",493,11,"terço superior","Nitossolo Vermelho Eutroférrico típico"
485750,7403494,"ondulado",480,10,"terço médio","Latossolo Vermelho Eutroférrico típico"
483551,7401678,"ondulado",519,15,"terço superior","Neossolo Regolítico Eutrófico típico"
491669,7414202,"ondulado",427,13,"terço médio","Nitossolo Vermelho Eutroférrico latossólico"
491747,7412219,"suave ondulado",435,4,"terço superior","Latossolo Vermelho Eutroférrico típico"
490514,7407301,"ondulado",466,18,"terço médio","Nitossolo Vermelho Eutroférrico típico"
491529,7405580,"ondulado",456,12,"terço superior","Latossolo Vermelho Eutroférrico típico"
495021,7410499,"forte ondulado",423,29,"terço médio","Nitossolo Vermelho Eutroférrico típico"
495094,7416660,"suave ondulado",428,5,"terço médio","Latossolo Vermelho Eutroférrico típico"
NA,NA,"ondulado",540,15,"terço superior","Neossolo Litólico Eutrófico típico"
NA,NA,"plano",NA,0,"baixada","Gleissolo Melânico"
NA,NA,"plano",500,0,"baixada","Cambissolo Háplico Tb Eutrófico gleissólico"
NA,NA,"suave ondulado",NA,7,"terço médio","Latossolo Vermelho Eutroférrico típico"
NA,NA,"ondulado",NA,17,"terço médio","Neossolo Regolítico Eutrófico léptico"
NA,NA,"suave ondulado",470,7,"terço inferior","Latossolo Vermelho Distroférrico típico"
NA,NA,"ondulado",520,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
NA,NA,"ondulado",NA,NA,"terço inferior","Neossolo Litólico Distrófico típico"
NA,NA,"montanhoso",NA,NA,"terço médio","Cambissolo Háplico Tb Distrófico típico"
NA,NA,"montanhoso",NA,NA,"terço médio","Cambissolo Háplico Tb Distrófico típico"
NA,NA,"montanhoso",NA,NA,"terço inferior","Neossolo Litólico Distrófico típico"
NA,NA,"forte ondulado",NA,25,"terço médio","Cambissolo Háplico Tb Distrófico típico"
NA,NA,"montanhoso",NA,NA,"terço médio","Neossolo Regolítico Eutrófico típico"
